Node, x_pos, y_pos, target_x, target_y
0, -3, -10, -1, -9
1, -6, 3, -4, 2
2, 6, 8, 6, 3
3, -4, -7, -1, -8
4, -2, -2, -9, 9
5, 2, -5, 1, -10
6, 4, 9, 0, 9
7, -5, -5, -7, -4
8, 0, 3, -1, 3
9, 1, 0, 1, -2
10, -9, -10, -10, -4
11, 3, -9, 1, -8
12, -4, -1, -3, -1
13, 7, -5, 8, -6
14, 1, 0, 5, 0
15, -4, 8, -3, 5
16, 0, 0, -8, 8
17, -6, -4, -7, -4
18, -10, -8, -8, -7
19, -1, -2, -1, -3
20, -8, 3, -8, 0
21, -5, 6, -6, 7
22, -6, 0, -8, 0
23, 4, 5, 3, 5
24, 5, 7, 3, 6
25, 7, 7, 7, 5
26, 8, -8, 6, -9
27, 0, 6, 2, 6
28, -7, -3, -8, -3
29, 3, -4, 3, -4
0, -1.21115, -9.10557, -1, -9
1, -4.21115, 2.10557, -4, 2
2, 6, 6, 6, 3
3, -2.10263, -7.63246, -1, -8
4, -3.07375, -0.312677, -9, 9
5, 1.60777, -6.96116, 1, -10
6, 2, 9, 0, 9
7, -6.78885, -4.10557, -7, -4
8, -1, 3, -1, 3
9, 1, -2, 1, -2
10, -9.3288, -8.02721, -10, -4
11, 1.21115, -8.10557, 1, -8
12, -3, -1, -3, -1
13, 8, -6, 8, -6
14, 3, 0, 5, 0
15, -3.36754, 6.10263, -3, 5
16, -1.41421, 1.41421, -8, 8
17, -7, -4, -7, -4
18, -8.21115, -7.10557, -8, -7
19, -1, -3, -1, -3
20, -8, 1, -8, 0
21, -6, 7, -6, 7
22, -8, 0, -8, 0
23, 3, 5, 3, 5
24, 3.21115, 6.10557, 3, 6
25, 7, 5, 7, 5
26, 6.21115, -8.89443, 6, -9
27, 2, 6, 2, 6
28, -8, -3, -8, -3
29, -nan, -nan, 3, -4
0, -1, -9, -1, -9
1, -4, 2, -4, 2
2, 6, 4, 6, 3
3, -1, -8, -1, -8
4, -4.1475, 1.37465, -9, 9
5, 1.21554, -8.92232, 1, -10
6, 0, 9, 0, 9
7, -7, -4, -7, -4
8, -1, 3, -1, 3
9, 1, -2, 1, -2
10, -9.6576, -6.05442, -10, -4
11, 1, -8, 1, -8
12, -3, -1, -3, -1
13, 8, -6, 8, -6
14, 5, 0, 5, 0
15, -3, 5, -3, 5
16, -2.82843, 2.82843, -8, 8
17, -7, -4, -7, -4
18, -8, -7, -8, -7
19, -1, -3, -1, -3
20, -8, 0, -8, 0
21, -6, 7, -6, 7
22, -8, 0, -8, 0
23, 3, 5, 3, 5
24, 3, 6, 3, 6
25, 7, 5, 7, 5
26, 6, -9, 6, -9
27, 2, 6, 2, 6
28, -8, -3, -8, -3
29, -nan, -nan, 3, -4
0, -1, -9, -1, -9
1, -4, 2, -4, 2
2, 6, 3, 6, 3
3, -1, -8, -1, -8
4, -5.22125, 3.06197, -9, 9
5, 1, -10, 1, -10
6, 0, 9, 0, 9
7, -7, -4, -7, -4
8, -1, 3, -1, 3
9, 1, -2, 1, -2
10, -9.98639, -4.08164, -10, -4
11, 1, -8, 1, -8
12, -3, -1, -3, -1
13, 8, -6, 8, -6
14, 5, 0, 5, 0
15, -3, 5, -3, 5
16, -4.24264, 4.24264, -8, 8
17, -7, -4, -7, -4
18, -8, -7, -8, -7
19, -1, -3, -1, -3
20, -8, 0, -8, 0
21, -6, 7, -6, 7
22, -8, 0, -8, 0
23, 3, 5, 3, 5
24, 3, 6, 3, 6
25, 7, 5, 7, 5
26, 6, -9, 6, -9
27, 2, 6, 2, 6
28, -8, -3, -8, -3
29, -nan, -nan, 3, -4
0, -1, -9, -1, -9
1, -4, 2, -4, 2
2, 6, 3, 6, 3
3, -1, -8, -1, -8
4, -6.295, 4.74929, -9, 9
5, 1, -10, 1, -10
6, 0, 9, 0, 9
7, -7, -4, -7, -4
8, -1, 3, -1, 3
9, 1, -2, 1, -2
10, -10, -4, -10, -4
11, 1, -8, 1, -8
12, -3, -1, -3, -1
13, 8, -6, 8, -6
14, 5, 0, 5, 0
15, -3, 5, -3, 5
16, -5.65685, 5.65685, -8, 8
17, -7, -4, -7, -4
18, -8, -7, -8, -7
19, -1, -3, -1, -3
20, -8, 0, -8, 0
21, -6, 7, -6, 7
22, -8, 0, -8, 0
23, 3, 5, 3, 5
24, 3, 6, 3, 6
25, 7, 5, 7, 5
26, 6, -9, 6, -9
27, 2, 6, 2, 6
28, -8, -3, -8, -3
29, -nan, -nan, 3, -4
0, -1, -9, -1, -9
1, -4, 2, -4, 2
2, 6, 3, 6, 3
3, -1, -8, -1, -8
4, -7.36875, 6.43661, -9, 9
5, 1, -10, 1, -10
6, 0, 9, 0, 9
7, -7, -4, -7, -4
8, -1, 3, -1, 3
9, 1, -2, 1, -2
10, -10, -4, -10, -4
11, 1, -8, 1, -8
12, -3, -1, -3, -1
13, 8, -6, 8, -6
14, 5, 0, 5, 0
15, -3, 5, -3, 5
16, -7.07107, 7.07107, -8, 8
17, -7, -4, -7, -4
18, -8, -7, -8, -7
19, -1, -3, -1, -3
20, -8, 0, -8, 0
21, -6, 7, -6, 7
22, -8, 0, -8, 0
23, 3, 5, 3, 5
24, 3, 6, 3, 6
25, 7, 5, 7, 5
26, 6, -9, 6, -9
27, 2, 6, 2, 6
28, -8, -3, -8, -3
29, -nan, -nan, 3, -4
0, -1, -9, -1, -9
1, -4, 2, -4, 2
2, 6, 3, 6, 3
3, -1, -8, -1, -8
4, -8.44251, 8.12394, -9, 9
5, 1, -10, 1, -10
6, 0, 9, 0, 9
7, -7, -4, -7, -4
8, -1, 3, -1, 3
9, 1, -2, 1, -2
10, -10, -4, -10, -4
11, 1, -8, 1, -8
12, -3, -1, -3, -1
13, 8, -6, 8, -6
14, 5, 0, 5, 0
15, -3, 5, -3, 5
16, -8, 8, -8, 8
17, -7, -4, -7, -4
18, -8, -7, -8, -7
19, -1, -3, -1, -3
20, -8, 0, -8, 0
21, -6, 7, -6, 7
22, -8, 0, -8, 0
23, 3, 5, 3, 5
24, 3, 6, 3, 6
25, 7, 5, 7, 5
26, 6, -9, 6, -9
27, 2, 6, 2, 6
