Node, x_pos, y_pos, target_x, target_y
1, -10, -3, 2, 0
2, 3, -6, 2, 2
3, 8, 6, 2, -2
4, -7, -4, -2, 0
5, -2, -2, -2, 2
6, -5, 2, -2, 0
1, -8.05971, -2.51493, 2, 0
2, 2.75193, -4.01544, 2, 2
3, 6.8, 4.4, 2, -2
4, -5.43826, -2.75061, -2, 0
5, -2, 0, -2, 2
6, -3.3359, 0.8906, -2, 0
1, -6.11943, -2.02986, 2, 0
2, 2.50386, -2.03089, 2, 2
3, 5.6, 2.8, 2, -2
4, -3.87652, -1.50122, -2, 0
5, -2, 2, -2, 2
6, -2, 0, -2, 0
1, -4.17914, -1.54479, 2, 0
2, 2.25579, -0.0463327, 2, 2
3, 4.4, 1.2, 2, -2
4, -2.31479, -0.25183, -2, 0
5, -2, 2, -2, 2
6, -2, 0, -2, 0
1, -2.23886, -1.05971, 2, 0
2, 2.00772, 1.93822, 2, 2
3, 3.2, -0.4, 2, -2
4, -2, 0, -2, 0
5, -2, 2, -2, 2
6, -2, 0, -2, 0
1, -0.298575, -0.574644, 2, 0
2, 2, 2, 2, 2
3, 2, -2, 2, -2
4, -2, 0, -2, 0
5, -2, 2, -2, 2
6, -2, 0, -2, 0
1, 1.64171, -0.0895725, 2, 0
2, 2, 2, 2, 2
3, 2, -2, 2, -2
4, -2, 0, -2, 0
5, -2, 2, -2, 2
6, -2, 0, -2, 0
1, 2, 0, 2, 0
2, 2, 2, 2, 2
3, 2, -2, 2, -2
4, -2, 0, -2, 0
5, -2, 2, -2, 2
6, -2, 0, -2, 0
