Node, x_pos, y_pos, target_x, target_y
0, -3, -10, -1, -9
1, -6, 3, -4, 2
2, 6, 8, 7, 5
3, -4, -7, -1, -8
4, -2, -2, -8, -3
5, 2, -5, 0, 9
6, 4, 9, 3, 6
7, -5, -5, -7, -4
8, 0, 3, 3, 5
9, 1, 0, 1, -2
10, -9, -10, -10, -4
11, 3, -9, 1, -8
12, -4, -1, -3, -1
13, 7, -5, -8, 8
14, 1, 0, 2, 6
15, -4, 8, -3, 5
16, 0, 0, -8, 0
17, -6, -4, -7, -4
18, -10, -8, -8, -7
19, -1, -2, -1, -3
0, -1.21115, -9.10557, -1, -9
1, -4.21115, 2.10557, -4, 2
2, 6.63246, 6.10263, 7, 5
3, -2.10263, -7.63246, -1, -8
4, -3.97279, -2.3288, -8, -3
5, 1.71716, -3.0201, 0, 9
6, 3.36754, 7.10263, 3, 6
7, -6.78885, -4.10557, -7, -4
8, 1.6641, 4.1094, 3, 5
9, 1, -2, 1, -2
10, -9.3288, -8.02721, -10, -4
11, 1.21115, -8.10557, 1, -8
12, -3, -1, -3, -1
13, 5.48862, -3.69014, -8, 8
14, 1.3288, 1.97279, 2, 6
15, -3.36754, 6.10263, -3, 5
16, -2, 0, -8, 0
17, -7, -4, -7, -4
18, -8.21115, -7.10557, -8, -7
19, -1, -3, -1, -3
0, -1, -9, -1, -9
1, -4, 2, -4, 2
2, 7, 5, 7, 5
3, -1, -8, -1, -8
4, -5.94558, -2.6576, -8, -3
5, 1.43431, -1.0402, 0, 9
6, 3, 6, 3, 6
7, -7, -4, -7, -4
8, 3, 5, 3, 5
9, 1, -2, 1, -2
10, -9.6576, -6.05442, -10, -4
11, 1, -8, 1, -8
12, -3, -1, -3, -1
13, 3.97724, -2.38028, -8, 8
14, 1.6576, 3.94558, 2, 6
15, -3, 5, -3, 5
16, -4, 0, -8, 0
17, -7, -4, -7, -4
18, -8, -7, -8, -7
19, -1, -3, -1, -3
0, -1, -9, -1, -9
1, -4, 2, -4, 2
2, 7, 5, 7, 5
3, -1, -8, -1, -8
4, -7.91836, -2.98639, -8, -3
5, 1.15147, 0.939697, 0, 9
6, 3, 6, 3, 6
7, -7, -4, -7, -4
8, 3, 5, 3, 5
9, 1, -2, 1, -2
10, -9.98639, -4.08164, -10, -4
11, 1, -8, 1, -8
12, -3, -1, -3, -1
13, 2.46587, -1.07042, -8, 8
14, 1.98639, 5.91836, 2, 6
15, -3, 5, -3, 5
16, -6, 0, -8, 0
17, -7, -4, -7, -4
18, -8, -7, -8, -7
19, -1, -3, -1, -3
0, -1, -9, -1, -9
1, -4, 2, -4, 2
2, 7, 5, 7, 5
3, -1, -8, -1, -8
4, -8, -3, -8, -3
5, 0.868629, 2.9196, 0, 9
6, 3, 6, 3, 6
7, -7, -4, -7, -4
8, 3, 5, 3, 5
9, 1, -2, 1, -2
10, -10, -4, -10, -4
11, 1, -8, 1, -8
12, -3, -1, -3, -1
13, 0.954487, 0.239444, -8, 8
14, 2, 6, 2, 6
15, -3, 5, -3, 5
16, -8, 0, -8, 0
17, -7, -4, -7, -4
18, -8, -7, -8, -7
19, -1, -3, -1, -3
0, -1, -9, -1, -9
1, -4, 2, -4, 2
2, 7, 5, 7, 5
3, -1, -8, -1, -8
4, -8, -3, -8, -3
5, 0.585786, 4.89949, 0, 9
6, 3, 6, 3, 6
7, -7, -4, -7, -4
8, 3, 5, 3, 5
9, 1, -2, 1, -2
10, -10, -4, -10, -4
11, 1, -8, 1, -8
12, -3, -1, -3, -1
13, -0.556891, 1.54931, -8, 8
14, 2, 6, 2, 6
15, -3, 5, -3, 5
16, -8, 0, -8, 0
17, -7, -4, -7, -4
18, -8, -7, -8, -7
19, -1, -3, -1, -3
0, -1, -9, -1, -9
1, -4, 2, -4, 2
2, 7, 5, 7, 5
3, -1, -8, -1, -8
4, -8, -3, -8, -3
5, 0.302944, 6.87939, 0, 9
6, 3, 6, 3, 6
7, -7, -4, -7, -4
8, 3, 5, 3, 5
9, 1, -2, 1, -2
10, -10, -4, -10, -4
11, 1, -8, 1, -8
12, -3, -1, -3, -1
13, -2.06827, 2.85917, -8, 8
14, 2, 6, 2, 6
15, -3, 5, -3, 5
16, -8, 0, -8, 0
17, -7, -4, -7, -4
18, -8, -7, -8, -7
19, -1, -3, -1, -3
0, -1, -9, -1, -9
1, -4, 2, -4, 2
2, 7, 5, 7, 5
3, -1, -8, -1, -8
4, -8, -3, -8, -3
5, 0.020101, 8.85929, 0, 9
6, 3, 6, 3, 6
7, -7, -4, -7, -4
8, 3, 5, 3, 5
9, 1, -2, 1, -2
10, -10, -4, -10, -4
11, 1, -8, 1, -8
12, -3, -1, -3, -1
13, -3.57965, 4.16903, -8, 8
14, 2, 6, 2, 6
15, -3, 5, -3, 5
16, -8, 0, -8, 0
17, -7, -4, -7, -4
18, -8, -7, -8, -7
19, -1, -3, -1, -3
0, -1, -9, -1, -9
1, -4, 2, -4, 2
2, 7, 5, 7, 5
3, -1, -8, -1, -8
4, -8, -3, -8, -3
5, 0, 9, 0, 9
6, 3, 6, 3, 6
7, -7, -4, -7, -4
8, 3, 5, 3, 5
9, 1, -2, 1, -2
10, -10, -4, -10, -4
11, 1, -8, 1, -8
12, -3, -1, -3, -1
13, -5.09103, 5.47889, -8, 8
14, 2, 6, 2, 6
15, -3, 5, -3, 5
16, -8, 0, -8, 0
17, -7, -4, -7, -4
18, -8, -7, -8, -7
19, -1, -3, -1, -3
0, -1, -9, -1, -9
1, -4, 2, -4, 2
2, 7, 5, 7, 5
3, -1, -8, -1, -8
4, -8, -3, -8, -3
5, 0, 9, 0, 9
6, 3, 6, 3, 6
7, -7, -4, -7, -4
8, 3, 5, 3, 5
9, 1, -2, 1, -2
10, -10, -4, -10, -4
11, 1, -8, 1, -8
12, -3, -1, -3, -1
13, -6.6024, 6.78875, -8, 8
14, 2, 6, 2, 6
15, -3, 5, -3, 5
16, -8, 0, -8, 0
17, -7, -4, -7, -4
18, -8, -7, -8, -7
19, -1, -3, -1, -3
0, -1, -9, -1, -9
1, -4, 2, -4, 2
2, 7, 5, 7, 5
3, -1, -8, -1, -8
