Node, x_pos, y_pos, target_x, target_y
0, -23, -50, 9, -31
1, -26, 3, -32, 0
2, 26, 8, 30, 9
3, 16, -7, 25, -19
4, -42, 18, -31, 9
5, -18, 35, -10, 30
6, 44, -31, 18, -26
7, -45, 35, 9, 30
8, 40, 23, 25, 18
9, -19, -20, -19, -26
10, -9, -50, -10, -31
11, 43, 31, 18, 25
12, -24, 39, -26, 18
13, -33, -45, -31, -10
14, 41, -20, 31, 0
15, -4, -32, -1, -32
16, -20, 20, -19, 25
17, -26, -44, -26, -19
18, 30, -8, 30, -10
19, -1, 38, 0, 31
0, -21.2803, -48.9789, 9, -31
1, -27.7889, 2.10557, -32, 0
2, 27.9403, 8.48507, 30, 9
3, 17.2, -8.6, 25, -19
4, -40.4521, 16.7335, -31, 9
5, -16.304, 33.94, -10, 30
6, 42.036, -30.6223, 18, -26
7, -43.0085, 34.8156, 9, 30
8, 38.1026, 22.3675, 25, 18
9, -19, -22, -19, -26
10, -9.10512, -48.0028, -10, -31
11, 41.0552, 30.5333, 18, 25
12, -24.1896, 37.009, -26, 18
13, -32.8859, -43.0033, -31, -10
14, 40.1056, -18.2111, 31, 0
15, -2, -32, -1, -32
16, -19.6078, 21.9612, -19, 25
17, -26, -42, -26, -19
18, 30, -10, 30, -10
19, -0.717157, 36.0201, 0, 31
0, -19.5606, -47.9578, 9, -31
1, -29.5777, 1.21115, -32, 0
2, 29.8806, 8.97014, 30, 9
3, 18.4, -10.2, 25, -19
4, -38.9042, 15.467, -31, 9
5, -14.608, 32.88, -10, 30
6, 40.072, -30.2446, 18, -26
7, -41.017, 34.6312, 9, 30
8, 36.2053, 21.7351, 25, 18
9, -19, -24, -19, -26
10, -9.21024, -46.0055, -10, -31
11, 39.1105, 30.0665, 18, 25
12, -24.3792, 35.018, -26, 18
13, -32.7718, -41.0065, -31, -10
14, 39.2111, -16.4223, 31, 0
15, -1, -32, -1, -32
16, -19.2155, 23.9223, -19, 25
17, -26, -40, -26, -19
18, 30, -10, 30, -10
19, -0.434315, 34.0402, 0, 31
0, -17.8409, -46.9368, 9, -31
1, -31.3666, 0.316718, -32, 0
2, 30, 9, 30, 9
3, 19.6, -11.8, 25, -19
4, -37.3563, 14.2006, -31, 9
5, -12.912, 31.82, -10, 30
6, 38.108, -29.8669, 18, -26
7, -39.0256, 34.4468, 9, 30
8, 34.3079, 21.1026, 25, 18
9, -19, -26, -19, -26
10, -9.31535, -44.0083, -10, -31
11, 37.1657, 29.5998, 18, 25
12, -24.5689, 33.027, -26, 18
13, -32.6577, -39.0098, -31, -10
14, 38.3167, -14.6334, 31, 0
15, -1, -32, -1, -32
16, -19, 25, -19, 25
17, -26, -38, -26, -19
18, 30, -10, 30, -10
19, -0.151472, 32.0603, 0, 31
