Node, x_pos, y_pos, target_x, target_y
0, -23, -50, -19, -41
1, -26, 3, -40, 2
2, 26, 8, 9, 7
3, 16, -7, 13, -18
4, -42, 18, -41, 22
5, -18, 35, -10, 9
6, 44, -31, 41, -27
7, -45, 35, -41, 25
8, 40, 23, 45, 5
9, -19, -20, -29, -26
10, -9, -50, -41, 5
11, 43, 31, 35, 49
12, -24, 39, -25, 43
13, -33, -45, -35, -27
14, 41, -20, 13, 39
15, -4, -32, -2, -24
16, -20, 20, -20, 26
17, -26, -44, -28, -46
18, 30, -8, 16, 37
19, -1, 38, 5, 46
0, -22.1877, -48.1724, -19, -41
1, -27.9949, 2.85751, -40, 2
2, 24.0035, 7.88256, 9, 7
3, 15.4738, -8.92953, 13, -18
4, -41.5149, 19.9403, -41, 22
5, -17.4118, 33.0884, -10, 9
6, 42.8, -29.4, 41, -27
7, -44.2572, 33.143, -41, 25
8, 40.5353, 21.073, 45, 5
9, -20.715, -21.029, -29, -26
10, -10.0058, -48.2713, -41, 5
11, 42.1877, 32.8276, 35, 49
12, -24.4851, 40.9403, -25, 43
13, -33.2209, -43.0122, -35, -27
14, 40.1425, -18.1931, 13, 39
15, -3.51493, -30.0597, -2, -24
16, -20, 22, -20, 26
17, -27.4142, -45.4142, -28, -46
18, 29.4059, -6.09029, 16, 37
19, 0.2, 39.6, 5, 46
0, -21.3754, -46.3448, -19, -41
1, -29.9898, 2.71501, -40, 2
2, 22.0069, 7.76511, 9, 7
3, 14.9475, -10.8591, 13, -18
4, -41.0299, 21.8806, -41, 22
5, -16.8237, 31.1769, -10, 9
6, 41.6, -27.8, 41, -27
7, -43.5144, 31.2861, -41, 25
8, 41.0706, 19.1459, 45, 5
9, -22.43, -22.058, -29, -26
10, -11.0116, -46.5426, -41, 5
11, 41.3754, 34.6552, 35, 49
12, -24.9701, 42.8806, -25, 43
13, -33.4417, -41.0245, -35, -27
14, 39.285, -16.3863, 13, 39
15, -3.02986, -28.1194, -2, -24
16, -20, 24, -20, 26
17, -28, -46, -28, -46
18, 28.8117, -4.18057, 16, 37
19, 1.4, 41.2, 5, 46
0, -20.5632, -44.5171, -19, -41
1, -31.9848, 2.57252, -40, 2
2, 20.0104, 7.64767, 9, 7
3, 14.4213, -12.7886, 13, -18
4, -41, 22, -41, 22
5, -16.2355, 29.2653, -10, 9
6, 41, -27, 41, -27
7, -42.7717, 29.4291, -41, 25
8, 41.6059, 17.2189, 45, 5
9, -24.145, -23.087, -29, -26
10, -12.0174, -44.8139, -41, 5
11, 40.5632, 36.4829, 35, 49
12, -25, 43, -25, 43
13, -33.6626, -39.0367, -35, -27
14, 38.4275, -14.5794, 13, 39
15, -2.54479, -26.1791, -2, -24
16, -20, 26, -20, 26
17, -28, -46, -28, -46
18, 28.2176, -2.27086, 16, 37
19, 2.6, 42.8, 5, 46
0, -19.7509, -42.6895, -19, -41
1, -33.9797, 2.43002, -40, 2
2, 18.0138, 7.53022, 9, 7
3, 13.8951, -14.7181, 13, -18
4, -41, 22, -41, 22
5, -15.6473, 27.3538, -10, 9
6, 41, -27, 41, -27
7, -42.0289, 27.5722, -41, 25
8, 42.1412, 15.2919, 45, 5
9, -25.8599, -24.116, -29, -26
10, -13.0231, -43.0852, -41, 5
11, 39.7509, 38.3105, 35, 49
12, -25, 43, -25, 43
13, -33.8835, -37.0489, -35, -27
14, 37.57, -12.7726, 13, 39
15, -2.05971, -24.2389, -2, -24
16, -20, 26, -20, 26
17, -28, -46, -28, -46
18, 27.6235, -0.361146, 16, 37
19, 3.8, 44.4, 5, 46
0, -19, -41, -19, -41
1, -35.9746, 2.28753, -40, 2
2, 16.0173, 7.41278, 9, 7
3, 13.3688, -16.6476, 13, -18
4, -41, 22, -41, 22
5, -15.0591, 25.4422, -10, 9
6, 41, -27, 41, -27
7, -41.2861, 25.7152, -41, 25
8, 42.6764, 13.3648, 45, 5
9, -27.5749, -25.145, -29, -26
10, -14.0289, -41.3565, -41, 5
11, 38.9386, 40.1381, 35, 49
12, -25, 43, -25, 43
13, -34.1043, -35.0612, -35, -27
14, 36.7126, -10.9657, 13, 39
15, -2, -24, -2, -24
16, -20, 26, -20, 26
17, -28, -46, -28, -46
18, 27.0293, 1.54857, 16, 37
19, 5, 46, 5, 46
0, -19, -41, -19, -41
1, -37.9695, 2.14504, -40, 2
2, 14.0207, 7.29534, 9, 7
3, 13, -18, 13, -18
4, -41, 22, -41, 22
5, -14.471, 23.5307, -10, 9
6, 41, -27, 41, -27
7, -41, 25, -41, 25
8, 43.2117, 11.4378, 45, 5
9, -29, -26, -29, -26
10, -15.0347, -39.6278, -41, 5
11, 38.1263, 41.9657, 35, 49
12, -25, 43, -25, 43
13, -34.3252, -33.0734, -35, -27
14, 35.8551, -9.15889, 13, 39
15, -2, -24, -2, -24
16, -20, 26, -20, 26
17, -28, -46, -28, -46
18, 26.4352, 3.45828, 16, 37
19, 5, 46, 5, 46
0, -19, -41, -19, -41
1, -39.9644, 2.00254, -40, 2
2, 12.0242, 7.17789, 9, 7
3, 13, -18, 13, -18
4, -41, 22, -41, 22
5, -13.8828, 21.6191, -10, 9
6, 41, -27, 41, -27
7, -41, 25, -41, 25
8, 43.747, 9.51075, 45, 5
9, -29, -26, -29, -26
10, -16.0405, -37.8991, -41, 5
11, 37.3141, 43.7934, 35, 49
