Node, x_pos, y_pos, target_x, target_y
0, -23, -50, 15, 15
1, -26, 3, -35, 5
2, 26, 8, 25, 15
3, 16, -7, 15, -15
4, -42, 18, -35, 15
5, -18, 35, -25, 15
6, 44, -31, 25, -15
7, -45, 35, -35, -5
8, 40, 23, 35, 15
9, -19, -20, -15, -15
10, -9, -50, 5, -15
11, 43, 31, 35, 5
12, -24, 39, 5, 15
13, -33, -45, -35, -15
14, 41, -20, 35, -15
15, -4, -32, -5, -15
16, -20, 20, -15, 15
17, -26, -44, -25, -15
18, 30, -8, 35, -5
19, -1, 38, -5, 15
0, -21.9906, -48.2734, 15, 15
1, -27.9524, 3.43386, -35, 5
2, 25.7172, 9.9799, 25, 15
3, 15.7519, -8.98456, 15, -15
4, -40.1617, 17.2122, -35, 15
5, -18.6607, 33.1123, -25, 15
6, 42.4702, -29.7117, 25, -15
7, -44.5149, 33.0597, -35, -5
8, 38.94, 21.304, 35, 15
9, -17.7506, -18.4383, -15, -15
10, -8.25722, -48.143, 5, -15
11, 42.4118, 29.0884, 35, 5
12, -22.4592, 37.7249, 5, 15
13, -33.133, -43.0044, -35, -15
14, 39.4636, -18.7196, 35, -15
15, -4.11744, -30.0035, -5, -15
16, -18.5858, 18.5858, -15, 15
17, -25.9311, -42.0012, -25, -15
18, 31.715, -6.97101, 35, -5
19, -1.34268, 36.0296, -5, 15
0, -20.9812, -46.5468, 15, 15
1, -29.9047, 3.86772, -35, 5
2, 25.4343, 11.9598, 25, 15
3, 15.5039, -10.9691, 15, -15
4, -38.3234, 16.4243, -35, 15
5, -19.3214, 31.2246, -25, 15
6, 40.9404, -28.4235, 25, -15
7, -44.0299, 31.1194, -35, -5
8, 37.88, 19.608, 35, 15
9, -16.5012, -16.8765, -15, -15
10, -7.51444, -46.2861, 5, -15
11, 41.8237, 27.1769, 35, 5
12, -20.9184, 36.4497, 5, 15
13, -33.2661, -41.0089, -35, -15
14, 37.9271, -17.4393, 35, -15
15, -4.23489, -28.0069, -5, -15
16, -17.1716, 17.1716, -15, 15
17, -25.8622, -40.0024, -25, -15
18, 33.43, -5.94202, 35, -5
19, -1.68536, 34.0592, -5, 15
0, -19.9718, -44.8202, 15, 15
1, -31.8571, 4.30158, -35, 5
2, 25.1515, 13.9397, 25, 15
3, 15.2558, -12.9537, 15, -15
4, -36.4851, 15.6365, -35, 15
5, -19.9821, 29.3368, -25, 15
6, 39.4105, -27.1352, 25, -15
7, -43.5448, 29.1791, -35, -5
8, 36.82, 17.912, 35, 15
9, -15.2518, -15.3148, -15, -15
10, -6.77166, -44.4291, 5, -15
11, 41.2355, 25.2653, 35, 5
12, -19.3776, 35.1746, 5, 15
13, -33.3991, -39.0133, -35, -15
14, 36.3907, -16.1589, 35, -15
15, -4.35233, -26.0104, -5, -15
16, -15.7574, 15.7574, -15, 15
17, -25.7932, -38.0036, -25, -15
18, 35, -5, 35, -5
19, -2.02805, 32.0887, -5, 15
0, -18.9624, -43.0936, 15, 15
1, -33.8095, 4.73544, -35, 5
2, 25, 15, 25, 15
3, 15.0077, -14.9382, 15, -15
4, -35, 15, -35, 15
5, -20.6428, 27.4491, -25, 15
6, 37.8807, -25.8469, 25, -15
7, -43.0597, 27.2389, -35, -5
8, 35.76, 16.216, 35, 15
9, -15, -15, -15, -15
10, -6.02887, -42.5722, 5, -15
11, 40.6473, 23.3538, 35, 5
12, -17.8368, 33.8995, 5, 15
13, -33.5322, -37.0177, -35, -15
14, 35, -15, 35, -15
15, -4.46978, -24.0138, -5, -15
16, -15, 15, -15, 15
17, -25.7243, -36.0048, -25, -15
18, 35, -5, 35, -5
19, -2.37073, 30.1183, -5, 15
0, -17.953, -41.367, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -21.3035, 25.5614, -25, 15
6, 36.3509, -24.5586, 25, -15
7, -42.5746, 25.2986, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, -5.28609, -40.7152, 5, -15
11, 40.0591, 21.4422, 35, 5
12, -16.2961, 32.6243, 5, 15
13, -33.6652, -35.0221, -35, -15
14, 35, -15, 35, -15
15, -4.58722, -22.0173, -5, -15
16, -15, 15, -15, 15
17, -25.6554, -34.0059, -25, -15
18, 35, -5, 35, -5
19, -2.71341, 28.1479, -5, 15
0, -16.9436, -39.6404, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -21.9642, 23.6737, -25, 15
6, 34.8211, -23.2704, 25, -15
7, -42.0896, 23.3583, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, -4.54331, -38.8583, 5, -15
11, 39.471, 19.5307, 35, 5
12, -14.7553, 31.3492, 5, 15
13, -33.7982, -33.0266, -35, -15
14, 35, -15, 35, -15
